id,proba
296104,0.56196
296105,0.65228
296106,0.62414
296107,0.76388
296108,0.53446
296109,0.48814
296110,0.53938
296111,0.52516
296112,0.38656
296113,0.65198
296114,0.52074
296115,0.5846
296116,0.52376
296117,0.54488
296118,0.52282
296119,0.483
296120,0.55402
296121,0.6342
296122,0.46796
296123,0.66992
296124,0.64266
296125,0.29014
296126,0.49572
296127,0.50342
296128,0.503
296129,0.56532
296130,0.76786
296131,0.66676
296132,0.36062
296133,0.58908
296134,0.53694
296135,0.42042
296136,0.49012
296137,0.55502
296138,0.47458
296139,0.58334
296140,0.52372
296141,0.54044
296142,0.56374
296143,0.51108
296144,0.76182
296145,0.5288
296146,0.43178
296147,0.51274
296148,0.49692
296149,0.61624
296150,0.49668
296151,0.71784
296152,0.83588
296153,0.69464
296154,0.38036
296155,0.554
296156,0.54676
296157,0.51836
296158,0.50154
296159,0.66514
296160,0.45662
296161,0.44066
296162,0.45742
296163,0.5174
296164,0.5093
296165,0.46782
296166,0.5354
296167,0.63326
296168,0.4545
296169,0.4024
296170,0.52516
296171,0.47258
296172,0.66656
296173,0.44414
296174,0.49762
296175,0.52442
296176,0.5019
296177,0.59074
296178,0.48808
296179,0.50532
296180,0.4505
296181,0.5321
296182,0.47508
296183,0.52614
296184,0.56386
296185,0.58436
296186,0.52162
296187,0.5859
296188,0.5131
296189,0.52604
296190,0.5272
296191,0.55338
296192,0.62366
296193,0.32588
296194,0.52186
296195,0.52808
296196,0.43744
296197,0.57006
296198,0.50378
296199,0.54086
296200,0.54752
296201,0.57248
296202,0.50496
296203,0.42918
296204,0.46238
296205,0.59064
296206,0.44564
296207,0.56136
296208,0.5559
296209,0.55098
296210,0.49874
296211,0.43978
296212,0.5907
296213,0.54974
296214,0.48436
296215,0.47284
296216,0.55832
296217,0.51654
296218,0.4628
296219,0.3974
296220,0.54088
296221,0.5162
296222,0.60836
296223,0.44602
296224,0.51152
296225,0.45238
296226,0.48824
296227,0.40148
296228,0.6512
296229,0.40574
296230,0.52936
296231,0.59676
296232,0.48904
296233,0.75314
296234,0.59594
296235,0.4958
296236,0.56892
296237,0.53574
296238,0.60022
296239,0.45754
296240,0.4131
296241,0.31616
296242,0.58896
296243,0.59706
296244,0.5701
296245,0.50182
296246,0.57226
296247,0.51386
296248,0.62796
296249,0.56876
296250,0.44522
296251,0.46634
296252,0.4533
296253,0.48592
296254,0.5315
296255,0.53324
296256,0.53004
296257,0.49388
296258,0.63948
296259,0.56422
296260,0.5658
296261,0.57912
296262,0.51318
296263,0.43996
296264,0.49034
296265,0.53226
296266,0.45542
296267,0.55764
296268,0.46988
296269,0.61618
296270,0.52138
296271,0.4687
296272,0.64534
296273,0.33746
296274,0.53556
296275,0.53192
296276,0.53536
296277,0.48348
296278,0.50598
296279,0.49368
296280,0.37206
296281,0.51594
296282,0.72358
296283,0.43746
296284,0.455
296285,0.57154
296286,0.50924
296287,0.5929
296288,0.52304
296289,0.67474
296290,0.56924
296291,0.5978
296292,0.49602
296293,0.51194
